Class,Atom,Snippet,Line
io.socket.client.Socket$6,Post-Increment,packet.id = ids++,215
io.socket.client.Manager$1$3,Conditional Operator,Object data = (objects.length > 0) ? objects[0] : null,258
io.socket.client.Socket$7,Omitted Curly Braces,if (sent[0])    return;sent[0] = true,335
io.socket.parser.IOParser$Decoder,Omitted Curly Braces,if ('' == c)    break;nsp.append(c),149
io.socket.parser.IOParser$Decoder,Logic as Control Flow,if ((length > (i + 1)) && ('/' == str.charAt(i + 1))) {    StringBuilder nsp = new StringBuilder();    while (true) {        ++i;        char c = str.charAt(i);        if ('' == c)            break;        nsp.append(c);        if ((i + 1) == length)            break;    }     p.nsp = nsp.toString();} else {    p.nsp = "/";},144
io.socket.client.Manager$7$1,Omitted Curly Braces,if (self.skipReconnect)    return;logger.fine("attempting reconnect"),501
io.socket.client.Manager$7$1,Omitted Curly Braces,if (self.skipReconnect)    return;self.open(new OpenCallback() {    @Override    public void call(Exception err) {        if (err != null) {            logger.fine("reconnect attempt error");            self.reconnecting = false;            self.reconnect();            self.emit(EVENT_RECONNECT_ERROR err);        } else {            logger.fine("reconnect success");            self.onreconnect();        }    }}),508
io.socket.client.Manager$7,Omitted Curly Braces,if (self.skipReconnect)    return;logger.fine("attempting reconnect"),501
io.socket.client.Manager$7,Omitted Curly Braces,if (self.skipReconnect)    return;self.open(new OpenCallback() {    @Override    public void call(Exception err) {        if (err != null) {            logger.fine("reconnect attempt error");            self.reconnecting = false;            self.reconnect();            self.emit(EVENT_RECONNECT_ERROR err);        } else {            logger.fine("reconnect success");            self.onreconnect();        }    }}),508
io.socket.client.Socket$3,Omitted Curly Braces,if (this.connected || this.io.isReconnecting())    return;this.subEvents(),119
io.socket.client.Socket$7$1,Omitted Curly Braces,if (sent[0])    return;sent[0] = true,335
io.socket.client.Manager,Conditional Operator,this.encoder = (opts.encoder != null) ? opts.encoder : new IOParser.Encoder(),133
io.socket.client.Manager,Conditional Operator,this.decoder = (opts.decoder != null) ? opts.decoder : new IOParser.Decoder(),134
io.socket.client.Manager,Conditional Operator,Object data = (objects.length > 0) ? objects[0] : null,258
io.socket.client.Manager,Omitted Curly Braces,if ((this.readyState == ReadyState.OPEN) || (this.readyState == ReadyState.OPENING))    return;if (logger.isLoggable(Level.FINE)) {    logger.fine(String.format("opening %s" this.uri));},228
io.socket.client.Manager,Omitted Curly Braces,while ((sub = this.subs.poll()) != null)    sub.destroy();this.decoder.onDecoded(null),442
io.socket.client.Manager,Omitted Curly Braces,if (this.reconnecting || this.skipReconnect)    return;final Manager self = this,480
io.socket.client.Manager,Omitted Curly Braces,if (self.skipReconnect)    return;logger.fine("attempting reconnect"),501
io.socket.client.Manager,Omitted Curly Braces,if (self.skipReconnect)    return;self.open(new OpenCallback() {    @Override    public void call(Exception err) {        if (err != null) {            logger.fine("reconnect attempt error");            self.reconnecting = false;            self.reconnect();            self.emit(EVENT_RECONNECT_ERROR err);        } else {            logger.fine("reconnect success");            self.onreconnect();        }    }}),508
io.socket.client.Manager,Logic as Control Flow,if (((!this.reconnecting) && this._reconnection) && (this.backoff.getAttempts() == 0)) {    this.reconnect();},206
io.socket.client.Url,Logic as Control Flow,if ((path == null) || (path.length() == 0)) {    path = "/";},42
